course_id,teacher_id,n_lectures,min_working_days,n_students,instance
CosMacMn,t029,3.0,3.0,110.0,Ing0304-1
TecMec1Mn,t030,3.0,3.0,325.0,Ing0304-1
Mat1Ar,t031,3.0,3.0,150.0,Ing0304-1
,t032,3.0,3.0,150.0,Ing0304-1
LabEle1Ar,t033,7.0,1.0,50.0,Ing0304-1
LabEle2Ar,t034,7.0,1.0,50.0,Ing0304-1
LabEle3Ar,t035,7.0,1.0,50.0,Ing0304-1
GeoAppAns,t036,3.0,3.0,12.0,Ing0304-1
IdrNumAns,t037,3.0,3.0,12.0,Ing0304-1
MecSuoAns,t001,3.0,3.0,4.0,Ing0304-1
PriIngAns,t038,3.0,3.0,4.0,Ing0304-1
StaPenAns,t004,3.0,3.0,8.0,Ing0304-1
StaAns,t025,3.0,3.0,12.0,Ing0304-1
ArcTecCns,t011,3.0,3.0,16.0,Ing0304-1
EleTel1Ens,t039,3.0,3.0,73.0,Ing0304-1
SisTel1Ens,t040,3.0,3.0,23.0,Ing0304-1
AppIndGns,t041,3.0,3.0,122.0,Ing0304-1
RetCal2Gns,t020,3.0,,12.0,Ing0304-1
TecCos1Cv,t042,3.0,3.0,180.0,Ing0304-1
StoArcCv,t043,5.0,4.0,48.0,Ing0304-1
TeoStr1Cv,t044,3.0,3.0,28.0,Ing0304-1
MecCom1Cv,t045,3.0,3.0,32.0,Ing0304-1
ArcComCv,t046,3.0,3.0,70.0,Ing0304-1
CalAut1Cv,t047,3.0,3.0,35.0,Ing0304-1
CosZonCv,t042,3.0,3.0,30.0,Ing0304-1
ImpTec1Cv,,3.0,3.0,98.0,Ing0304-1
IdrAppCv,t049,5.0,4.0,30.0,Ing0304-1
RivSpeCv,t050,5.0,4.0,30.0,Ing0304-1
CalEle1Ev,t051,3.0,3.0,93.0,Ing0304-1
CamEle1Ev,t052,3.0,3.0,110.0,Ing0304-1
EleIndEv,t053,5.0,4.0,82.0,Ing0304-1
GesAziGv,t054,5.0,4.0,224.0,Ing0304-1
ChiInd1Gv,t055,5.0,4.0,44.0,Ing0304-1
OrgPro1Gv,t056,3.0,2.0,210.0,Ing0304-1
Mac1Mv,t057,5.0,4.0,-120.0,Ing0304-1
TerAppMv,t058,5.0,4.0,64.0,Ing0304-1
DisAssMv,t059,5.0abc,4.0,65.0,Ing0304-1
MecVibMn,t060,5.0,5.0,65.0,Ing0304-1
c0012,t000,3.0,3.0,20.0,Ing0405-3
c0013,t001,3.0,3.0,25.0,Ing0405-3
c0014,t002,3.0,2.0,41.0,Ing0405-3
c0035,t003,3.0,3.0,13.0,Ing0405-3
c0036,t004,3.0,3.0,13.0,Ing0405-3
c0045,t005,3.0,3.0,76.0,Ing0405-3
c0052,t006,3.0,3.0,119.0,Ing0405-3
c0053,t007,3.0,3.0,63.0,Ing0405-3
c0055,t008,3.0,3.0,63.0,Ing0405-3
c0057,t009,3.0,3.0,76.0,Ing0405-3
c0060,t010,3.0,3.0,89.0,Ing0405-3
c0094,t011,3.0,3.0,70.0,Ing0405-3
c0098,t012,3.0,3.0,92.0,Ing0405-3
c0104,t013,3.0,3.0,92.0,Ing0405-3
c0107,t014,3.0,3.0,70.0,Ing0405-3
c0112,t015,3.0,3.0,70.0,Ing0405-3
c0114,t016,3.0,3.0,92.0,Ing0405-3
c0116,t006,-3.0,3.0,120.0,Ing0405-3
c0117,t017,3.0,3.0,120.0,Ing0405-3
c0130,t018,3.0,2.0,124.0,Ing0405-3
c0148,t019,3.0,3.0,121.0,Ing0405-3
c0149,t020,3.0,3.0,121.0,Ing0405-3
c0150,t021,3.0,3.0,121.0,Ing0405-3
c0162,t022,3.0,3.0,130.0,Ing0405-3
c0163,t023,3.0,2.0,145.0,Ing0405-3
c0177,t011,3.0,,113.0,Ing0405-3
c0179,t005,3.0,3.0,113.0,Ing0405-3
c0181,t024,3.0,3.0,113.0,Ing0405-3
c0198,t025,3.0,3.0,88.0,Ing0405-3
c0210,t026,3.0,3.0,125.0,Ing0405-3
c0214,t027,3.0,3.0,125.0,Ing0405-3
c0218,t028,3.0,3.0,80.0,Ing0405-3
c0223,t001,3.0,3.0,80.0,Ing0405-3
c0224,t029,3.0,3.0,115.0,Ing0405-3
c0226,t030,3.0,3.0,110.0,Ing0405-3
c0227,t031,3.0,3.0,90.0,Ing0405-3
c0233,t032,3.0,3.0,66.0,Ing0405-3
c0249,t033,3.0,3.0,19023.0,Ing0405-3
c0254,t034,3.0,3.0,114.0,Ing0405-3
c0271,t035,3.0,3.0,114.0,Ing0405-3
c0409,t036,3.0,3.0,30.0,Ing0405-3
c0416,t032,3.0,3.0,23.0,Ing0405-3
c0420,t037,3.0,3.0,,Ing0405-3
c0441,t038,3.0,3.0,36.0,Ing0405-3
c0447,t038,3.0,3.0,43.0,Ing0405-3
c0456,t039,3.0,3.0,70.0,Ing0405-3
c0457,t040,3.0abc,3.0,50.0,Ing0405-3
c0465,t041,3.0,3.0,70.0,Ing0405-3
c0486,t042,3.0,2.0,15.0,Ing0405-3
c0491,,3.0,2.0,5.0,Ing0405-3
c0498,t044,3.0,3.0,25.0,Ing0405-3
c0501,t045,3.0,3.0,5.0,Ing0405-3
c0506,t046,3.0,2.0,19912.0,Ing0405-3
c0510,t047,6.0,4.0,30.0,Ing0405-3
c0527,t048,3.0,3.0,13.0,Ing0405-3
c0670,t020,3.0,3.0,30.0,Ing0405-3
c0738,t049,3.0,2.0,10.0,Ing0405-3
c0745,t050,,3.0,30.0,Ing0405-3
c0773,t051,3.0,2.0,15.0,Ing0405-3
c0814,t052,5.0,4.0,3.0,Ing0405-3
c0825,t053,3.0,3.0,3.0,Ing0405-3
c0882,t054,7.0,1.0,18.0,Ing0405-3
c0884,t055,7.0,1.0,53.0,Ing0405-3
c0899,t056,3.0,3.0,14.0,Ing0405-3
c0901,t057,3.0,3.0,124.0,Ing0405-3
c0933,t058,3.0,3.0,30.0,Ing0405-3
c0947,t059,7.0,1.0,30.0,Ing0405-3
c0953,t060,7.0,1.0,46.0,Ing0405-3
c0969,t061,7.0,1.0,46.0,Ing0405-3
c0972,,7.0,1.0,18.0,Ing0405-3
c0978,t063,7.0,1.0,60.0,Ing0405-3
c0985,t064,7.0,1.0,40.0,Ing0405-3
c0991,t001,3.0,3.0,6.0,Ing0405-3
c1007,t065,3.0,3.0,76.0,Ing0405-3
c1041,t066,3.0,2.0,130.0,Ing0405-3
c1044,t066,7.0,1.0,60.0,Ing0405-3
c0741,t067,6.0,4.0,110.0,Ing0405-3
c0196,,6.0,4.0,100.0,Ing0405-3
c0798,t069,,4.0,3.0,Ing0405-3
LinTed1,t000,1.0,1.0,10.0,Let0405-1
AlfInf,t001,1.0,1.0,10.0,Let0405-1
LetIta1,t002,3.0,0.0,300.0,Let0405-1
FilTesItaCS,t003,3.0,3.0,100.0,Let0405-1
LinGreA,t004,,10.0,50.0,Let0405-1
LinLatA,t005,2.0,2.0,60.0,Let0405-1
LinLetGre1,t006,3.0,3.0,170.0,Let0405-1
LinLetLat1,t007,3.0,2.0,350.0,Let0405-1
LetCriAnt,t008,3.0,3.0,80.0,Let0405-1
Papiro,t009,3.0,3.0,230.0,Let0405-1
EpiGre,t010,3.0,3.0,80.0,Let0405-1
StoMod1,t011,3.0,3.0,,Let0405-1
StoCon,t012,2.0abc,2.0,400.0,Let0405-1
Geo2,t013,3.0,3.0,20.0,Let0405-1
AntCul1,t014,3.0,0.0,370.0,Let0405-1
StoFil1,t015,3.0,2.0,80.0,Let0405-1
StoCriChi,t016,3.0,3.0,60.0,Let0405-1
StoSci,t017,3.0,3.0,50.0,Let0405-1
MetRicArc,t018,3.0,3.0,10.0,Let0405-1
ArcCla1,t019,3.0,3.0,130.0,Let0405-1
LinLatB,t020,3.0,3.0,30.0,Let0405-1
Numism,t021,3.0,3.0,60.0,Let0405-1
PrePro,t022,3.0,2.0,40.0,Let0405-1
StoVicOriAnt,t023,3.0,3.0,40.0,Let0405-1
ArcEge,t024,3.0,3.0,50.0,Let0405-1
FilSem,t023,3.0,3.0,50.0,Let0405-1
LegBenCul1,t025,2.0,2.0,170.0,Let0405-1
Bibeco,t026,3.0,3.0,70.0,Let0405-1
ConBenArcLib,t027,3.0,3.0,10.0,Let0405-1
ResBenArcLib,t028,3.0,3.0,150.0,Let0405-1
InfArcBib,t029,3.0,3.0,90.0,Let0405-1
TeoTecCatCla,t030,3.0,10.0,90.0,Let0405-1
StoArtMed1,t031,3.0,3.0,150.0,Let0405-1
IcoIcoA,t032,3.0,3.0,100.0,Let0405-1
IcoIcoB,t032,3.0,3.0,,Let0405-1
StoArtMod1,t033,2.0,2.0,200.0,Let0405-1
MetRicStoArt,t034,3.0,3.0,43738.0,Let0405-1
StoArtLatAmeA,t035,3.0,3.0,170.0,Let0405-1
StoArtCon1,t036,3.0,3.0,,Let0405-1
PsiArt,t037,3.0,3.0,50.0,Let0405-1
ArcPae,t038,1.0,1.0,340.0,Let0405-1
LetIta4CS,t002,3.0,3.0,30.0,Let0405-1
StoGreCS,t039,3.0,3.0,60.0,Let0405-1
StoMedCS,t040,3.0,3.0,110.0,Let0405-1
BioArcCS,t041,3.0,3.0,40.0,Let0405-1
Antrop,t041,3.0,3.0,10.0,Let0405-1
LegBenCul2,t025,3.0,3.0,140.0,Let0405-1
StoArtMed2CS,t031,3.0,3.0,,Let0405-1
ChiAppBenCul,t042,3.0,3.0,20.0,Let0405-1
StoArc,t019,3.0,3.0,10.0,Let0405-1
StoArt,t043,3.0,3.0,60.0,Let0405-1
FonSocAntCulI,t044,3.0,3.0,70.0,Let0405-1
Bibgra,t045,3.0,3.0,280.0,Let0405-1
BibgraCS,t046,3.0,3.0,60.0,Let0405-1
c0006,t000,3.0,3.0,145.0,Ing0506-1
c0011,t001,3.0,3.0,25.0,Ing0506-1
c0018,t002,3.0,3.0,42.0,Ing0506-1
c0026,t003,3.0,3.0,45.0,Ing0506-1
c0027,t004,3.0,3.0,45.0,Ing0506-1
c0046,t005,3.0,3.0,75.0,Ing0506-1
c0050,t006,0.0,2.0,67.0,Ing0506-1
c0051,t007,3.0,3.0,128.0,Ing0506-1
c0059,t008,3.0,3.0,128.0,Ing0506-1
c0064,,3.0,3.0,67.0,Ing0506-1
c0073,t010,3.0,3.0,68.0,Ing0506-1
c0080,t011,3.0,3.0,30.0,Ing0506-1
c0085,t012,3.0,3.0,67.0,Ing0506-1
c0091,t012,3.0,3.0,20.0,Ing0506-1
c0097,t013,3.0,3.0,100.0,Ing0506-1
c0099,t014,3.0,3.0,130.0,Ing0506-1
c0101,t015,3.0,3.0,100.0,Ing0506-1
c0105,t016,3.0,2.0,182.0,Ing0506-1
c0109,t017,3.0,3.0,100.0,Ing0506-1
c0128,t018,3.0,3.0,130.0,Ing0506-1
c0137,t019,3.0,2.0,200.0,Ing0506-1
c0142,t020,3.0,3.0,130.0,Ing0506-1
c0143,t021,3.0,3.0,120.0,Ing0506-1
c0154,t022,3.0,2.0,150.0,Ing0506-1
c0180,t000,3.0,3.0,190.0,Ing0506-1
c0184,t023,-3.0,3.0,119.0,Ing0506-1
c0185,t024,3.0,3.0,119.0,Ing0506-1
c0600,t025,3.0,3.0,38.0,Ing0506-1
c0718,t026,3.0,3.0,3.0,Ing0506-1
c0724,t027,3.0,3.0,70.0,Ing0506-1
c0793,t004,3.0,3.0,10.0,Ing0506-1
c0803,t017,3.0,3.0,25.0,Ing0506-1
c0806,t028,3.0,3.0,5.0,Ing0506-1
c0816,t029,3.0,3.0,28.0,Ing0506-1
c0820,t029,3.0,3.0,20.0,Ing0506-1
c0821,t030,3.0,3.0,10.0,Ing0506-1
c0823,t031,3.0abc,3.0,20.0,Ing0506-1
c0824,,3.0,3.0,10.0,Ing0506-1
c0826,t031,3.0,3.0,20.0,Ing0506-1
c0189,t032,3.0,3.0,90.0,Ing0506-1
c0199,t033,3.0,3.0,90.0,Ing0506-1
c0200,t034,0.0,3.0,90.0,Ing0506-1
c0202,t035,3.0,3.0,158.0,Ing0506-1
c0212,t036,3.0,3.0,145.0,Ing0506-1
c0216,t037,3.0,3.0,145.0,Ing0506-1
c0220,t038,3.0,3.0,100.0,Ing0506-1
c0228,t039,3.0,3.0,100.0,Ing0506-1
c0231,t040,3.0,3.0,85.0,Ing0506-1
c0243,t037,3.0abc,3.0,65.0,Ing0506-1
c0247,t041,3.0,3.0,60.0,Ing0506-1
c0261,t042,3.0,3.0,142.0,Ing0506-1
c0281,t043,3.0,3.0,90.0,Ing0506-1
c0417,t044,3.0,3.0,30.0,Ing0506-1
c0422,t038,3.0,3.0,27.0,Ing0506-1
c0427,t045,3.0,3.0,78.0,Ing0506-1
c0429,t046,3.0,3.0,122.0,Ing0506-1
c0433,t019,3.0,2.0,30.0,Ing0506-1
c0439,t047,-3.0,3.0,60.0,Ing0506-1
c0440,t048,3.0,3.0,30.0,Ing0506-1
c0442,t049,3.0,3.0,30.0,Ing0506-1
c0446,t050,3.0,3.0,3.0,Ing0506-1
c1009,t051,3.0,3.0,113.0,Ing0506-1
c1013,t052,3.0,3.0,150.0,Ing0506-1
c1020,t053,3.0,3.0,25.0,Ing0506-1
c1023,t054,3.0,3.0,50.0,Ing0506-1
c1027,t055,5.0,4.0,50.0,Ing0506-1
c1028,t055,3.0,3.0,50.0,Ing0506-1
c1031,t056,5.0,4.0,50.0,Ing0506-1
c1032,t056,3.0,3.0,50.0,Ing0506-1
c1033,t057,5.0,4.0,,Ing0506-1
c1034,t057,3.0,3.0,50.0,Ing0506-1
c1042,t044,3.0,3.0,110.0,Ing0506-1
c0450,t023,3.0,3.0,83.0,Ing0506-1
c0452,t058,3.0,3.0,60.0,Ing0506-1
c0462,t059,3.0,3.0,68.0,Ing0506-1
c0463,t060,3.0,3.0,68.0,Ing0506-1
c0474,t061,3.0,3.0,80.0,Ing0506-1
c0484,t062,3.0,3.0,45.0,Ing0506-1
c0489,t051,3.0,3.0,30.0,Ing0506-1
c0495,t063,3.0,3.0,23.0,Ing0506-1
c0513,t027,,3.0,70.0,Ing0506-1
c0516,t064,3.0,3.0,18818.0,Ing0506-1
c0519,t065,2.0,2.0,60.0,Ing0506-1
c0521,t065,3.0,3.0,60.0,Ing0506-1
c0524,t013,3.0,2.0,45.0,Ing0506-1
c0533,t066,3.0,3.0,25.0,Ing0506-1
c0536,t067,3.0,3.0,10.0,Ing0506-1
c0830,t068,3.0,3.0,40.0,Ing0506-1
c0836,t069,3.0,3.0,80.0,Ing0506-1
c0840,t070,3.0,3.0,100.0,Ing0506-1
c0846,t070,3.0,3.0,100.0,Ing0506-1
c0852,t071,3.0,2.0,14760.0,Ing0506-1
c0855,t072,0.0,2.0,100.0,Ing0506-1
c0881,t073,3.0,3.0,120.0,Ing0506-1
c0896,t074,3.0,2.0,150.0,Ing0506-1
c0898,t075,3.0,3.0,20.0,Ing0506-1
c0935,t076,5.0,4.0,100.0,Ing0506-1
c0949,t077,7.0,2.0,40.0,Ing0506-1
c0951,t078,7.0,2.0,40.0,Ing0506-1
c0957,t079,7.0,2.0,50.0,Ing0506-1
c0959,t080,7.0,2.0,50.0,Ing0506-1
c0961,t081,7.0,2.0,50.0,Ing0506-1
c0965,t082,7.0,2.0,40.0,Ing0506-1
c1057,t017,3.0,3.0,20.0,Ing0506-1
c1058,t083,3.0,3.0,67.0,Ing0506-1
c1067,t084,3.0,3.0,15.0,Ing0506-1
c1068,t085,3.0,3.0,45.0,Ing0506-1
c1089,t086,5.0,4.0,50.0,Ing0506-1
c0007,t000,3.0,3.0,12.0,Ing0607-2
c0009,t001,3.0,3.0,16.0,Ing0607-2
,t002,3.0,3.0,15.0,Ing0607-2
c0019,t003,3.0,3.0,31.0,Ing0607-2
c0020,t004,3.0,3.0,12.0,Ing0607-2
c0023,t005,3.0,3.0,111.0,Ing0607-2
c0024,t006,3.0,3.0,38.0,Ing0607-2
c0044,t007,3.0,3.0,110.0,Ing0607-2
c0047,t008,3.0abc,3.0,100.0,Ing0607-2
c0049,t009,,3.0,55.0,Ing0607-2
c0053,t010,3.0,3.0,60.0,Ing0607-2
,t011,3.0,3.0,110.0,Ing0607-2
c0058,t012,3.0,10.0,100.0,Ing0607-2
c0061,t013,3.0,3.0,55.0,Ing0607-2
c0062,t014,3.0,3.0,55.0,Ing0607-2
c0069,t010,3.0,3.0,110.0,Ing0607-2
c0072,t015,3.0,2.0,127.0,Ing0607-2
c0074,t016,3.0,1.0,13.0,Ing0607-2
c0088,t017,5.0,4.0,85.0,Ing0607-2
c0095,t018,3.0abc,3.0,90.0,Ing0607-2
c0103,t019,3.0abc,3.0,80.0,Ing0607-2
c0106,t020,3.0,3.0,147.0,Ing0607-2
c0108,t021,3.0,3.0,90.0,Ing0607-2
c0110,t012,3.0,3.0,160.0,Ing0607-2
c0113,t022,3.0,3.0,125.0,Ing0607-2
c0115,t023,3.0,0.0,136.0,Ing0607-2
c0118,t024,3.0,3.0,33.0,Ing0607-2
c0127,t025,3.0,3.0,90.0,Ing0607-2
c0129,t026,3.0,3.0,105.0,Ing0607-2
c0131,t027,3.0,10.0,105.0,Ing0607-2
c0132,t027,3.0,2.0,105.0,Ing0607-2
c0133,t028,5.0,1.0,100.0,Ing0607-2
c0152,t029,3.0,3.0,105.0,Ing0607-2
c0153,t030,3.0,2.0,105.0,Ing0607-2
c0162,t031,3.0,3.0,102.0,Ing0607-2
c0178,t032,3.0,3.0,90.0,Ing0607-2
c0191,t033,3.0,2.0,80.0,Ing0607-2
c0193,t034,3.0,,14895.0,Ing0607-2
c0195,t011,3.0,3.0,90.0,Ing0607-2
c0201,t035,3.0,2.0,105.0,Ing0607-2
c0203,t029,3.0,3.0,75.0,Ing0607-2
c0206,t036,3.0,3.0,90.0,Ing0607-2
c0211,t037,3.0,3.0,130.0,Ing0607-2
c0213,t038,3.0,3.0,130.0,Ing0607-2
c0217,t001,3.0,3.0,98.0,Ing0607-2
c0219,t039,3.0,3.0,83.0,Ing0607-2
c0221,t031,3.0,3.0,98.0,Ing0607-2
c0225,t040,3.0,3.0,83.0,Ing0607-2
c0230,t041,3.0,3.0,113.0,Ing0607-2
c0232,t042,3.0,3.0,50.0,Ing0607-2
c0238,t043,3.0,3.0,130.0,Ing0607-2
c0252,t044,3.0,,120.0,Ing0607-2
c0253,t045,3.0,3.0,85.0,Ing0607-2
c0257,t046,3.0,3.0,157.0,Ing0607-2
c0279,t047,3.0,3.0,105.0,Ing0607-2
c0411,t048,3.0,3.0,57.0,Ing0607-2
c0412,t049,3.0,3.0,20.0,Ing0607-2
c0423,t048,3.0,3.0,40.0,Ing0607-2
c0428,t030,3.0,3.0,26016.0,Ing0607-2
c0430,t041,3.0,3.0,68.0,Ing0607-2
c0432,t050,0.0,3.0,40.0,Ing0607-2
c0443,t051,3.0,3.0,20.0,Ing0607-2
c0444,t052,3.0,3.0,20.0,Ing0607-2
c0449,t045,3.0,3.0,20.0,Ing0607-2
c0455,t053,3.0,3.0,65.0,Ing0607-2
c0464,t054,3.0,2.0,65.0,Ing0607-2
c0467,t055,3.0,3.0,15.0,Ing0607-2
c0478,t030,3.0,2.0,53.0,Ing0607-2
c0479,t009,3.0,3.0,37.0,Ing0607-2
c0487,t056,3.0,3.0,38.0,Ing0607-2
c0489,t057,3.0,3.0,23.0,Ing0607-2
c0496,t058,3.0,3.0,31.0,Ing0607-2
c0497,t059,3.0,3.0,15.0,Ing0607-2
c0503,t060,3.0,3.0,31.0,Ing0607-2
c0504,t061,3.0,3.0,15.0,Ing0607-2
c0512,t062,-3.0,3.0,69.0,Ing0607-2
c0515,t063,4.0,3.0,99.0,Ing0607-2
c0520,t020,3.0,3.0,112.0,Ing0607-2
c0526,t022,3.0,3.0,26.0,Ing0607-2
