room_id,capacity,instance
rG,216,Ing0203-1
rA,312,Ing0203-1
rL,336,Ing0203-1
r50,80,Ing0203-1
r52,90,Ing0203-1
rDS1,90,Ing0203-1
rDS2,90,Ing0203-1
r25,40,Ing0607-1
r36,42,Ing0607-1
r37,42,Ing0607-1
r38,48,Ing0607-1
r34,34,Ing0607-1
r27,65,Ing0607-1
r51,78,Ing0607-1
rB,216,Ing0607-1
rD,216,Ing0607-1
rF,216,Ing0607-1
rG,216,Ing0607-1
rA,312,Ing0607-1
rL,336,Ing0607-1
r50,75,Ing0607-1
r52,60,Ing0607-1
rEr1,70,Ing0607-1
rEr2,70,Ing0607-1
rDS1,140,Ing0607-1
rDS2,60,Ing0607-1
rN,30,Ing0607-1
r25,40,Ing0405-1
r36,42,Ing0405-1
r37,42,Ing0405-1
r38,48,Ing0405-1
r31b,25,Ing0405-1
r27,80,Ing0405-1
r51,100,Ing0405-1
rB,216,Ing0405-1
rD,216,Ing0405-1
rF,216,Ing0405-1
rG,216,Ing0405-1
rA,312,Ing0405-1
rL,336,Ing0405-1
r50,50,Ing0405-1
r52,80,Ing0405-1
rDS1,90,Ing0405-1
rDS2,90,Ing0405-1
r1,150,Let0304-1
r10,130,Let0304-1
rC1,28,Let0304-1
rC2,20,Let0304-1
rL,65,Let0304-1
rM,60,Let0304-1
rN,40,Let0304-1
rO,30,Let0304-1
rVL,20,Let0304-1
r36,42,Ing0203-3
r37,42,Ing0203-3
r38,48,Ing0203-3
r31,50,Ing0203-3
r27,90,Ing0203-3
rB,216,Ing0203-3
rD,216,Ing0203-3
rE,216,Ing0203-3
rF,216,Ing0203-3
rG,216,Ing0203-3
rA,312,Ing0203-3
rL,336,Ing0203-3
r50,80,Ing0203-3
r52,90,Ing0203-3
rDS1,90,Ing0203-3
rDS2,90,Ing0203-3
r25,40,Ing0506-2
r36,42,Ing0506-2
r37,42,Ing0506-2
r38,48,Ing0506-2
r31,50,Ing0506-2
r27,65,Ing0506-2
r51,78,Ing0506-2
rB,216,Ing0506-2
rD,216,Ing0506-2
rF,216,Ing0506-2
rG,216,Ing0506-2
rA,312,Ing0506-2
rL,336,Ing0506-2
r50,75,Ing0506-2
r52,60,Ing0506-2
rDS1,80,Ing0506-2
rDS2,60,Ing0506-2
rN,30,Ing0506-2
rR,40,Ing0506-2
r25,40,Ing0304-2
r36,42,Ing0304-2
r37,42,Ing0304-2
r38,48,Ing0304-2
r31,50,Ing0304-2
r27,90,Ing0304-2
rB,216,Ing0304-2
rD,216,Ing0304-2
rE,216,Ing0304-2
rF,216,Ing0304-2
rH,216,Ing0304-2
rA,312,Ing0304-2
rL,336,Ing0304-2
r50,60,Ing0304-2
r51,110,Ing0304-2
r52,90,Ing0304-2
rDS1,90,Ing0304-2
rDS2,90,Ing0304-2
