course_id,teacher_id,n_lectures,min_working_days,n_students,instance
DisIndEsMn,t022,10,1,59,Ing0304-1
FluMn,t027,30,3,110,Ing0304-1
ComMecMn,t028,30,3,110,Ing0304-1
CosMacMn,t029,30,3,110,Ing0304-1
TecMec1Mn,t030,30,3,325,Ing0304-1
Mat1Ar,t031,30,3,150,Ing0304-1
nan,t032,30,3,150,Ing0304-1
LabEle1Ar,t033,70,1,50,Ing0304-1
LabEle2Ar,t034,70,1,50,Ing0304-1
LabEle3Ar,t035,70,1,50,Ing0304-1
GeoAppAns,t036,30,3,12,Ing0304-1
IdrNumAns,t037,30,3,12,Ing0304-1
MecSuoAns,t001,30,3,4,Ing0304-1
PriIngAns,t038,30,3,4,Ing0304-1
StaPenAns,t004,30,3,8,Ing0304-1
StaAns,t025,30,3,12,Ing0304-1
ArcTecCns,t011,30,3,16,Ing0304-1
EleTel1Ens,t039,30,3,73,Ing0304-1
SisTel1Ens,t040,30,3,23,Ing0304-1
AppIndGns,t041,30,3,122,Ing0304-1
RetCal2Gns,t020,30,3,12,Ing0304-1
TecCos1Cv,t042,30,3,180,Ing0304-1
StoArcCv,t043,50,4,48,Ing0304-1
TeoStr1Cv,t044,30,3,28,Ing0304-1
MecCom1Cv,t045,30,3,32,Ing0304-1
ArcComCv,t046,30,3,70,Ing0304-1
CalAut1Cv,t047,30,3,35,Ing0304-1
CosZonCv,t042,30,3,30,Ing0304-1
ImpTec1Cv,nan,30,3,98,Ing0304-1
IdrAppCv,t049,50,4,30,Ing0304-1
RivSpeCv,t050,50,4,30,Ing0304-1
CalEle1Ev,t051,30,3,93,Ing0304-1
CamEle1Ev,t052,30,3,110,Ing0304-1
EleIndEv,t053,50,4,82,Ing0304-1
GesAziGv,t054,50,4,224,Ing0304-1
ChiInd1Gv,t055,50,4,44,Ing0304-1
OrgPro1Gv,t056,30,2,210,Ing0304-1
Mac1Mv,t057,50,4,120,Ing0304-1
TerAppMv,t058,50,4,64,Ing0304-1
DisAssMv,t059,50,4,65,Ing0304-1
MecVibMn,t060,50,5,65,Ing0304-1
c0012,t000,30,3,20,Ing0405-3
c0013,t001,30,3,25,Ing0405-3
c0014,t002,30,2,41,Ing0405-3
c0035,t003,30,3,13,Ing0405-3
c0036,t004,30,3,13,Ing0405-3
c0045,t005,30,3,76,Ing0405-3
c0052,t006,30,3,119,Ing0405-3
c0053,t007,30,3,63,Ing0405-3
c0055,t008,30,3,63,Ing0405-3
c0057,t009,30,3,76,Ing0405-3
c0060,t010,30,3,89,Ing0405-3
c0094,t011,30,3,70,Ing0405-3
c0098,t012,30,3,92,Ing0405-3
c0104,t013,30,3,92,Ing0405-3
c0107,t014,30,3,70,Ing0405-3
c0112,t015,30,3,70,Ing0405-3
c0114,t016,30,3,92,Ing0405-3
c0116,t006,30,3,120,Ing0405-3
c0117,t017,30,3,120,Ing0405-3
c0130,t018,30,2,124,Ing0405-3
c0148,t019,30,3,121,Ing0405-3
c0149,t020,30,3,121,Ing0405-3
c0150,t021,30,3,121,Ing0405-3
c0162,t022,30,3,130,Ing0405-3
c0163,t023,30,2,145,Ing0405-3
c0177,t011,30,3,113,Ing0405-3
c0179,t005,30,3,113,Ing0405-3
c0181,t024,30,3,113,Ing0405-3
c0198,t025,30,3,88,Ing0405-3
c0210,t026,30,3,125,Ing0405-3
c0214,t027,30,3,125,Ing0405-3
c0218,t028,30,3,80,Ing0405-3
c0223,t001,30,3,80,Ing0405-3
c0224,t029,30,3,115,Ing0405-3
c0226,t030,30,3,110,Ing0405-3
c0227,t031,30,3,90,Ing0405-3
c0233,t032,30,3,66,Ing0405-3
c0249,t033,30,3,59,Ing0405-3
c0254,t034,30,3,114,Ing0405-3
c0271,t035,30,3,114,Ing0405-3
c0409,t036,30,3,30,Ing0405-3
c0416,t032,30,3,23,Ing0405-3
c0420,t037,30,3,58,Ing0405-3
c0441,t038,30,3,36,Ing0405-3
c0447,t038,30,3,43,Ing0405-3
c0456,t039,30,3,70,Ing0405-3
c0457,t040,30,3,50,Ing0405-3
c0465,t041,30,3,70,Ing0405-3
c0486,t042,30,2,15,Ing0405-3
c0491,nan,30,2,5,Ing0405-3
c0498,t044,30,3,25,Ing0405-3
c0501,t045,30,3,5,Ing0405-3
c0506,t046,30,2,59,Ing0405-3
c0510,t047,60,4,30,Ing0405-3
c0527,t048,30,3,13,Ing0405-3
c0670,t020,30,3,30,Ing0405-3
c0738,t049,30,2,10,Ing0405-3
c0745,t050,30,3,30,Ing0405-3
c0773,t051,30,2,15,Ing0405-3
c0814,t052,50,4,3,Ing0405-3
c0825,t053,30,3,3,Ing0405-3
c0882,t054,70,1,18,Ing0405-3
c0884,t055,70,1,53,Ing0405-3
c0899,t056,30,3,14,Ing0405-3
c0901,t057,30,3,124,Ing0405-3
c0933,t058,30,3,30,Ing0405-3
c0947,t059,70,1,30,Ing0405-3
c0953,t060,70,1,46,Ing0405-3
c0969,t061,70,1,46,Ing0405-3
c0972,nan,70,1,18,Ing0405-3
c0978,t063,70,1,60,Ing0405-3
c0985,t064,70,1,40,Ing0405-3
c0991,t001,30,3,6,Ing0405-3
c1007,t065,30,3,76,Ing0405-3
c1041,t066,30,2,130,Ing0405-3
c1044,t066,70,1,60,Ing0405-3
c0741,t067,60,4,110,Ing0405-3
c0196,nan,60,4,100,Ing0405-3
c0798,t069,30,4,3,Ing0405-3
LinTed1,t000,10,1,10,Let0405-1
AlfInf,t001,10,1,10,Let0405-1
LetIta1,t002,30,1,300,Let0405-1
FilTesItaCS,t003,30,3,100,Let0405-1
LinGreA,t004,30,5,50,Let0405-1
LinLatA,t005,20,2,60,Let0405-1
LinLetGre1,t006,30,3,170,Let0405-1
LinLetLat1,t007,30,2,350,Let0405-1
LetCriAnt,t008,30,3,80,Let0405-1
Papiro,t009,30,3,230,Let0405-1
EpiGre,t010,30,3,80,Let0405-1
StoMod1,t011,30,3,58,Let0405-1
StoCon,t012,20,2,400,Let0405-1
Geo2,t013,30,3,20,Let0405-1
AntCul1,t014,30,1,370,Let0405-1
StoFil1,t015,30,2,80,Let0405-1
StoCriChi,t016,30,3,60,Let0405-1
StoSci,t017,30,3,50,Let0405-1
MetRicArc,t018,30,3,10,Let0405-1
ArcCla1,t019,30,3,130,Let0405-1
LinLatB,t020,30,3,30,Let0405-1
Numism,t021,30,3,60,Let0405-1
PrePro,t022,30,2,40,Let0405-1
StoVicOriAnt,t023,30,3,40,Let0405-1
ArcEge,t024,30,3,50,Let0405-1
FilSem,t023,30,3,50,Let0405-1
LegBenCul1,t025,20,2,170,Let0405-1
Bibeco,t026,30,3,70,Let0405-1
ConBenArcLib,t027,30,3,10,Let0405-1
ResBenArcLib,t028,30,3,150,Let0405-1
InfArcBib,t029,30,3,90,Let0405-1
TeoTecCatCla,t030,30,5,90,Let0405-1
StoArtMed1,t031,30,3,150,Let0405-1
IcoIcoA,t032,30,3,100,Let0405-1
IcoIcoB,t032,30,3,58,Let0405-1
StoArtMod1,t033,20,2,200,Let0405-1
MetRicStoArt,t034,30,3,59,Let0405-1
StoArtLatAmeA,t035,30,3,170,Let0405-1
StoArtCon1,t036,30,3,58,Let0405-1
PsiArt,t037,30,3,50,Let0405-1
ArcPae,t038,10,1,340,Let0405-1
LetIta4CS,t002,30,3,30,Let0405-1
StoGreCS,t039,30,3,60,Let0405-1
StoMedCS,t040,30,3,110,Let0405-1
BioArcCS,t041,30,3,40,Let0405-1
Antrop,t041,30,3,10,Let0405-1
LegBenCul2,t025,30,3,140,Let0405-1
StoArtMed2CS,t031,30,3,58,Let0405-1
ChiAppBenCul,t042,30,3,20,Let0405-1
StoArc,t019,30,3,10,Let0405-1
StoArt,t043,30,3,60,Let0405-1
FonSocAntCulI,t044,30,3,70,Let0405-1
Bibgra,t045,30,3,280,Let0405-1
BibgraCS,t046,30,3,60,Let0405-1
c0006,t000,30,3,145,Ing0506-1
c0011,t001,30,3,25,Ing0506-1
c0018,t002,30,3,42,Ing0506-1
c0026,t003,30,3,45,Ing0506-1
c0027,t004,30,3,45,Ing0506-1
c0046,t005,30,3,75,Ing0506-1
c0050,t006,1,2,67,Ing0506-1
c0051,t007,30,3,128,Ing0506-1
c0059,t008,30,3,128,Ing0506-1
c0064,nan,30,3,67,Ing0506-1
c0073,t010,30,3,68,Ing0506-1
c0080,t011,30,3,30,Ing0506-1
c0085,t012,30,3,67,Ing0506-1
c0091,t012,30,3,20,Ing0506-1
c0097,t013,30,3,100,Ing0506-1
c0099,t014,30,3,130,Ing0506-1
c0101,t015,30,3,100,Ing0506-1
c0105,t016,30,2,182,Ing0506-1
c0109,t017,30,3,100,Ing0506-1
c0128,t018,30,3,130,Ing0506-1
c0137,t019,30,2,200,Ing0506-1
c0142,t020,30,3,130,Ing0506-1
c0143,t021,30,3,120,Ing0506-1
c0154,t022,30,2,150,Ing0506-1
c0180,t000,30,3,190,Ing0506-1
c0184,t023,30,3,119,Ing0506-1
c0185,t024,30,3,119,Ing0506-1
c0600,t025,30,3,38,Ing0506-1
c0718,t026,30,3,3,Ing0506-1
c0724,t027,30,3,70,Ing0506-1
c0793,t004,30,3,10,Ing0506-1
c0803,t017,30,3,25,Ing0506-1
c0806,t028,30,3,5,Ing0506-1
c0816,t029,30,3,28,Ing0506-1
c0820,t029,30,3,20,Ing0506-1
c0821,t030,30,3,10,Ing0506-1
c0823,t031,30,3,20,Ing0506-1
c0824,nan,30,3,10,Ing0506-1
c0826,t031,30,3,20,Ing0506-1
c0189,t032,30,3,90,Ing0506-1
c0199,t033,30,3,90,Ing0506-1
c0200,t034,1,3,90,Ing0506-1
c0202,t035,30,3,158,Ing0506-1
c0212,t036,30,3,145,Ing0506-1
c0216,t037,30,3,145,Ing0506-1
c0220,t038,30,3,100,Ing0506-1
c0228,t039,30,3,100,Ing0506-1
c0231,t040,30,3,85,Ing0506-1
c0243,t037,30,3,65,Ing0506-1
c0247,t041,30,3,60,Ing0506-1
c0261,t042,30,3,142,Ing0506-1
c0281,t043,30,3,90,Ing0506-1
c0417,t044,30,3,30,Ing0506-1
c0422,t038,30,3,27,Ing0506-1
c0427,t045,30,3,78,Ing0506-1
c0429,t046,30,3,122,Ing0506-1
c0433,t019,30,2,30,Ing0506-1
c0439,t047,30,3,60,Ing0506-1
c0440,t048,30,3,30,Ing0506-1
c0442,t049,30,3,30,Ing0506-1
c0446,t050,30,3,3,Ing0506-1
c1009,t051,30,3,113,Ing0506-1
c1013,t052,30,3,150,Ing0506-1
c1020,t053,30,3,25,Ing0506-1
c1023,t054,30,3,50,Ing0506-1
c1027,t055,50,4,50,Ing0506-1
c1028,t055,30,3,50,Ing0506-1
c1031,t056,50,4,50,Ing0506-1
c1032,t056,30,3,50,Ing0506-1
c1033,t057,50,4,58,Ing0506-1
c1034,t057,30,3,50,Ing0506-1
c1042,t044,30,3,110,Ing0506-1
c0450,t023,30,3,83,Ing0506-1
c0452,t058,30,3,60,Ing0506-1
c0462,t059,30,3,68,Ing0506-1
c0463,t060,30,3,68,Ing0506-1
c0474,t061,30,3,80,Ing0506-1
c0484,t062,30,3,45,Ing0506-1
c0489,t051,30,3,30,Ing0506-1
c0495,t063,30,3,23,Ing0506-1
c0513,t027,30,3,70,Ing0506-1
c0516,t064,30,3,59,Ing0506-1
c0519,t065,20,2,60,Ing0506-1
c0521,t065,30,3,60,Ing0506-1
c0524,t013,30,2,45,Ing0506-1
c0533,t066,30,3,25,Ing0506-1
c0536,t067,30,3,10,Ing0506-1
c0830,t068,30,3,40,Ing0506-1
c0836,t069,30,3,80,Ing0506-1
c0840,t070,30,3,100,Ing0506-1
c0846,t070,30,3,100,Ing0506-1
c0852,t071,30,2,59,Ing0506-1
c0855,t072,1,2,100,Ing0506-1
c0881,t073,30,3,120,Ing0506-1
c0896,t074,30,2,150,Ing0506-1
c0898,t075,30,3,20,Ing0506-1
c0935,t076,50,4,100,Ing0506-1
c0949,t077,70,2,40,Ing0506-1
c0951,t078,70,2,40,Ing0506-1
c0957,t079,70,2,50,Ing0506-1
c0959,t080,70,2,50,Ing0506-1
c0961,t081,70,2,50,Ing0506-1
c0965,t082,70,2,40,Ing0506-1
c1057,t017,30,3,20,Ing0506-1
c1058,t083,30,3,67,Ing0506-1
c1067,t084,30,3,15,Ing0506-1
c1068,t085,30,3,45,Ing0506-1
c1089,t086,50,4,50,Ing0506-1
c0007,t000,30,3,12,Ing0607-2
c0009,t001,30,3,16,Ing0607-2
nan,t002,30,3,15,Ing0607-2
c0019,t003,30,3,31,Ing0607-2
c0020,t004,30,3,12,Ing0607-2
c0023,t005,30,3,111,Ing0607-2
c0024,t006,30,3,38,Ing0607-2
c0044,t007,30,3,110,Ing0607-2
c0047,t008,30,3,100,Ing0607-2
c0049,t009,30,3,55,Ing0607-2
c0053,t010,30,3,60,Ing0607-2
c0058,t012,30,5,100,Ing0607-2
c0061,t013,30,3,55,Ing0607-2
c0062,t014,30,3,55,Ing0607-2
c0069,t010,30,3,110,Ing0607-2
c0072,t015,30,2,127,Ing0607-2
c0074,t016,30,1,13,Ing0607-2
c0088,t017,50,4,85,Ing0607-2
c0095,t018,30,3,90,Ing0607-2
c0103,t019,30,3,80,Ing0607-2
c0106,t020,30,3,147,Ing0607-2
c0108,t021,30,3,90,Ing0607-2
c0110,t012,30,3,160,Ing0607-2
c0113,t022,30,3,125,Ing0607-2
c0115,t023,30,1,136,Ing0607-2
c0118,t024,30,3,33,Ing0607-2
c0127,t025,30,3,90,Ing0607-2
c0129,t026,30,3,105,Ing0607-2
c0131,t027,30,5,105,Ing0607-2
c0132,t027,30,2,105,Ing0607-2
c0133,t028,50,1,100,Ing0607-2
c0152,t029,30,3,105,Ing0607-2
c0153,t030,30,2,105,Ing0607-2
c0162,t031,30,3,102,Ing0607-2
c0178,t032,30,3,90,Ing0607-2
c0191,t033,30,2,80,Ing0607-2
c0193,t034,30,3,59,Ing0607-2
c0195,t011,30,3,90,Ing0607-2
c0201,t035,30,2,105,Ing0607-2
c0203,t029,30,3,75,Ing0607-2
c0206,t036,30,3,90,Ing0607-2
c0211,t037,30,3,130,Ing0607-2
c0213,t038,30,3,130,Ing0607-2
c0217,t001,30,3,98,Ing0607-2
c0219,t039,30,3,83,Ing0607-2
c0221,t031,30,3,98,Ing0607-2
c0225,t040,30,3,83,Ing0607-2
c0230,t041,30,3,113,Ing0607-2
c0232,t042,30,3,50,Ing0607-2
c0238,t043,30,3,130,Ing0607-2
c0252,t044,30,3,120,Ing0607-2
c0253,t045,30,3,85,Ing0607-2
c0257,t046,30,3,157,Ing0607-2
c0279,t047,30,3,105,Ing0607-2
c0411,t048,30,3,57,Ing0607-2
c0412,t049,30,3,20,Ing0607-2
c0423,t048,30,3,40,Ing0607-2
c0428,t030,30,3,59,Ing0607-2
c0430,t041,30,3,68,Ing0607-2
c0432,t050,1,3,40,Ing0607-2
c0443,t051,30,3,20,Ing0607-2
c0444,t052,30,3,20,Ing0607-2
c0449,t045,30,3,20,Ing0607-2
c0455,t053,30,3,65,Ing0607-2
c0464,t054,30,2,65,Ing0607-2
c0467,t055,30,3,15,Ing0607-2
c0478,t030,30,2,53,Ing0607-2
c0479,t009,30,3,37,Ing0607-2
c0487,t056,30,3,38,Ing0607-2
c0489,t057,30,3,23,Ing0607-2
c0496,t058,30,3,31,Ing0607-2
c0497,t059,30,3,15,Ing0607-2
c0503,t060,30,3,31,Ing0607-2
c0504,t061,30,3,15,Ing0607-2
c0512,t062,30,3,69,Ing0607-2
c0515,t063,40,3,99,Ing0607-2
c0520,t020,30,3,112,Ing0607-2
c0526,t022,30,3,26,Ing0607-2
c0530,t062,30,5,28,Ing0607-2
c0532,t064,30,3,26,Ing0607-2
c0534,t065,30,3,15,Ing0607-2
c0535,t066,30,3,15,Ing0607-2
c0537,t067,30,3,15,Ing0607-2
c0538,t067,30,3,15,Ing0607-2
c0539,t068,30,3,15,Ing0607-2
c0602,t069,30,3,41,Ing0607-2
c0723,t071,30,3,10,Ing0607-2
c0725,t068,30,1,69,Ing0607-2
c0730,t008,30,3,8,Ing0607-2
c0737,t034,30,3,59,Ing0607-2
c0742,t072,30,3,35,Ing0607-2
c0746,t058,30,3,100,Ing0607-2
c0789,t073,30,3,12,Ing0607-2
c0794,t074,30,3,8,Ing0607-2
c0795,t073,30,3,59,Ing0607-2
c0804,t075,30,3,8,Ing0607-2
c0807,t076,30,3,8,Ing0607-2
c0808,t077,30,3,24,Ing0607-2
c0812,t078,30,3,17,Ing0607-2
c0813,t078,30,3,17,Ing0607-2
c0822,t079,30,3,4,Ing0607-2
c0835,t003,30,3,59,Ing0607-2
c0847,t080,30,3,60,Ing0607-2
c0849,t081,30,2,20,Ing0607-2
c0860,t039,70,2,10,Ing0607-2
c0862,t080,70,2,5,Ing0607-2
c0897,t083,30,3,51,Ing0607-2
c1005,t084,30,2,67,Ing0607-2
c0936,t070,30,3,41,Ing0607-2
c1022,t014,30,3,8,Ing0607-2
c0955,t086,70,2,40,Ing0607-2
c0963,t087,70,2,55,Ing0607-2
c0975,t088,70,2,15,Ing0607-2
c0980,t089,70,2,60,Ing0607-2
c0983,t090,70,2,50,Ing0607-2
c0998,t091,30,3,87,Ing0607-2
c1041,t092,30,3,160,Ing0607-2
c1053,t093,30,2,23,Ing0607-2
c1062,t094,30,3,40,Ing0607-2
c1064,t095,70,2,5,Ing0607-2
c1065,t029,30,3,20,Ing0607-2
c1066,t096,30,5,20,Ing0607-2
c1069,t059,30,3,59,Ing0607-2
c1072,t097,30,3,60,Ing0607-2
c1074,t098,30,3,20,Ing0607-2
c1077,t066,30,3,44,Ing0607-2
c0012,t000,30,3,52,Ing0607-3
c0013,t001,30,3,16,Ing0607-3
c0014,t002,30,3,45,Ing0607-3
c0035,t002,30,3,20,Ing0607-3
c0036,t003,30,3,23,Ing0607-3
c0045,t004,30,3,110,Ing0607-3
c0052,t005,30,3,169,Ing0607-3
c0055,t006,30,3,59,Ing0607-3
c0057,t007,30,3,58,Ing0607-3
c0060,t008,30,3,100,Ing0607-3
c0094,t009,30,5,90,Ing0607-3
c0098,t010,30,3,80,Ing0607-3
c0104,t011,30,1,80,Ing0607-3
c0107,t012,30,3,90,Ing0607-3
c0112,t013,30,3,90,Ing0607-3
c0114,t014,30,3,80,Ing0607-3
c0116,t005,30,3,139,Ing0607-3
c0117,t015,30,3,139,Ing0607-3
c0130,t016,30,2,105,Ing0607-3
c0148,t017,30,3,105,Ing0607-3
c0149,t018,30,3,105,Ing0607-3
c0150,t019,30,2,105,Ing0607-3
c0163,t020,30,2,115,Ing0607-3
c0177,t021,30,3,80,Ing0607-3
c0179,t022,30,3,80,Ing0607-3
c0181,t023,30,3,59,Ing0607-3
c0198,t024,30,3,80,Ing0607-3
c0210,t009,30,3,58,Ing0607-3
c0214,t025,30,3,130,Ing0607-3
c0218,t026,30,3,122,Ing0607-3
c0223,t001,30,3,105,Ing0607-3
c0224,t027,30,3,126,Ing0607-3
c0226,t028,30,3,120,Ing0607-3
c0227,t029,30,3,80,Ing0607-3
c0233,t030,30,3,46,Ing0607-3
c0249,t031,30,3,59,Ing0607-3
c0254,t032,30,3,120,Ing0607-3
c0271,t033,30,3,120,Ing0607-3
c0409,t034,30,3,25,Ing0607-3
c0416,t030,30,3,12,Ing0607-3
c0420,t035,30,3,50,Ing0607-3
c0441,t036,30,3,54,Ing0607-3
c0447,t036,30,3,32,Ing0607-3
c0456,t037,30,3,66,Ing0607-3
c0457,t038,30,3,73,Ing0607-3
c0465,t039,30,3,66,Ing0607-3
c0486,t040,30,3,37,Ing0607-3
c0491,t041,30,1,8,Ing0607-3
c0498,t042,30,3,30,Ing0607-3
c0501,t043,30,3,15,Ing0607-3
c0506,t044,30,3,14,Ing0607-3
c0527,t045,30,3,36,Ing0607-3
c0510,t046,50,4,69,Ing0607-3
c0798,t047,50,4,8,Ing0607-3
c0670,t026,30,3,25,Ing0607-3
c0738,t048,30,2,23,Ing0607-3
c0745,t049,30,3,40,Ing0607-3
c0773,t050,30,3,9,Ing0607-3
c0814,t051,30,3,5,Ing0607-3
c0815,t051,30,3,5,Ing0607-3
c0828,t052,30,3,16,Ing0607-3
c0844,t053,30,3,20,Ing0607-3
c0741,t054,60,4,113,Ing0607-3
c0845,t055,30,3,60,Ing0607-3
c0850,t056,30,3,60,Ing0607-3
c0851,t057,30,3,20,Ing0607-3
c0854,t058,70,2,15,Ing0607-3
c0856,t059,70,2,20,Ing0607-3
c0864,t060,70,2,5,Ing0607-3
c0866,t061,70,2,20,Ing0607-3
c0869,t062,70,2,20,Ing0607-3
c0882,t063,70,2,10,Ing0607-3
c0884,t064,70,2,50,Ing0607-3
c0898,t065,30,3,8,Ing0607-3
c0901,t066,30,3,105,Ing0607-3
c0933,t067,30,3,25,Ing0607-3
c0947,t068,70,2,10,Ing0607-3
c0953,t033,70,2,40,Ing0607-3
c0969,t069,70,2,40,Ing0607-3
c0972,t070,70,2,59,Ing0607-3
c0978,t071,70,2,50,Ing0607-3
c0985,t057,70,2,40,Ing0607-3
c1007,t072,30,3,110,Ing0607-3
c1044,t073,70,2,55,Ing0607-3
c1148,t074,30,3,12,Ing0607-3
c0196,t075,60,4,105,Ing0607-3
c0012,t000,30,3,36,Ing0304-3
c0013,t001,30,1,18,Ing0304-3
c0035,t002,30,3,17,Ing0304-3
c0036,t003,30,3,17,Ing0304-3
c0045,t004,30,3,90,Ing0304-3
c0052,t005,30,3,170,Ing0304-3
c0053,t006,30,3,85,Ing0304-3
c0055,t007,30,3,85,Ing0304-3
c0057,t008,30,3,90,Ing0304-3
