curriculum_id,course_id,instance
q054,c0386,Ing0203-2
q054,c0279,Ing0203-2
q054,c0379,Ing0203-2
q054,c0638,Ing0203-2
q054,c0368,Ing0203-2
q055,c0386,Ing0203-2
q055,c0279,Ing0203-2
q055,c0638,Ing0203-2
q055,c0316,Ing0203-2
q056,c0386,Ing0203-2
q056,c0279,Ing0203-2
q056,c0379,Ing0203-2
q056,c0638,Ing0203-2
q056,c0366,Ing0203-2
q057,c0346,Ing0203-2
q057,c0266,Ing0203-2
q057,c0115,Ing0203-2
q060,c0388,Ing0203-2
q060,c0638,Ing0203-2
q061,c0386,Ing0203-2
nan,c0388,Ing0203-2
q061,c0316,Ing0203-2
q061,c0638,Ing0203-2
q062,c0336,Ing0203-2
q062,c0337,Ing0203-2
q062,c0054,Ing0203-2
q062,c0326,Ing0203-2
q062,c0066,Ing0203-2
q063,c0336,Ing0203-2
q063,c0337,Ing0203-2
q063,c0480,Ing0203-2
q063,c0066,Ing0203-2
q064,c0336,Ing0203-2
q064,c0337,Ing0203-2
q064,c0054,Ing0203-2
q064,c0076,Ing0203-2
q064,c0066,Ing0203-2
q065,c0346,Ing0203-2
q065,c0366,Ing0203-2
q065,c0388,Ing0203-2
q065,c0193,Ing0203-2
q065,c0638,Ing0203-2
q066,nan,Ing0203-2
nan,c0366,Ing0203-2
q066,c0388,Ing0203-2
q066,c0316,Ing0203-2
q067,c0346,Ing0203-2
q067,c0366,Ing0203-2
q067,c0388,Ing0203-2
q068,c0304,Ing0203-2
q069,c0552,Ing0203-2
q069,c0307,Ing0203-2
nan,c0467,Ing0203-2
q069,c0559,Ing0203-2
q070,c0307,Ing0203-2
q070,c0288,Ing0203-2
q070,c0304,Ing0203-2
q071,c0115,Ing0203-2
q071,c0279,Ing0203-2
q071,c0455,Ing0203-2
q071,c0386,Ing0203-2
q072,c0115,Ing0203-2
q072,c0279,Ing0203-2
q072,c0467,Ing0203-2
q073,c0455,Ing0203-2
q073,c0336,Ing0203-2
q073,c0602,Ing0203-2
q073,c0470,Ing0203-2
q074,c0279,Ing0203-2
q074,nan,Ing0203-2
q074,c0336,Ing0203-2
q074,c0602,Ing0203-2
q000,Mat1Ar,Ing0304-1
q000,FonInfAr,Ing0304-1
q000,LabEle1Ar,Ing0304-1
q001,nan,Ing0304-1
q001,FonInfAr,Ing0304-1
q001,LabEle2Ar,Ing0304-1
q002,Mat1Ar,Ing0304-1
q002,FonInfAr,Ing0304-1
q002,LabEle3Ar,Ing0304-1
q003,Mat1Cn,Ing0304-1
q004,ChiGenAn,Ing0304-1
q004,DisCn,Ing0304-1
q004,GeoAn,Ing0304-1
q004,MecRazCn,Ing0304-1
q005,TecCosAn,Ing0304-1
q005,FonChiAn,Ing0304-1
q005,StrIndAn,Ing0304-1
q005,ChiInd1Gv,Ing0304-1
q005,CamEleAn,Ing0304-1
q006,TecCos1Cv,Ing0304-1
q006,Idr2Cn,Ing0304-1
q006,IngConAn,Ing0304-1
q008,ChiGenAn,Ing0304-1
q008,MecRazCn,Ing0304-1
q008,DisCn,Ing0304-1
q008,TecMatCn,Ing0304-1
q009,TecCos1Cv,Ing0304-1
q009,ArcTecCn,Ing0304-1
q009,Idr2Cn,Ing0304-1
q009,GeoAn,Ing0304-1
q010,TecCos1Cv,Ing0304-1
q010,nan,Ing0304-1
q010,DisEdiCn,Ing0304-1
q010,ArcComCv,Ing0304-1
q011,Mat1En,Ing0304-1
q012,ChiStaEn,Ing0304-1
q012,nan,Ing0304-1
q012,TeoRetEn,Ing0304-1
q012,ConAutEn,Ing0304-1
q013,ComEleEn,Ing0304-1
q013,EleSis1En,Ing0304-1
q013,EleIndEv,Ing0304-1
q014,CamEle1Ev,Ing0304-1
q014,ComEleEn,Ing0304-1
q014,EleSis1En,Ing0304-1
q014,RetCal1G1n,Ing0304-1
q015,CamEle1Ev,Ing0304-1
q015,ComEleEn,Ing0304-1
q015,EleSis1En,Ing0304-1
q015,MetMatEn,Ing0304-1
q016,Mat1G2n,Ing0304-1
q017,TeoRetEn,Ing0304-1
q017,ChiStaEn,Ing0304-1
q017,ConAutEn,Ing0304-1
q018,GesAziGv,Ing0304-1
q018,OrgPro1Gv,Ing0304-1
q018,CalEle1Ev,Ing0304-1
q019,GesAziGv,Ing0304-1
q019,RetCal1G1n,Ing0304-1
q019,OrgPro1Gv,Ing0304-1
q019,EleTel1Ens,Ing0304-1
q020,GesAziGv,Ing0304-1
q020,RetCal1G1n,Ing0304-1
q020,OrgPro1Gv,Ing0304-1
q020,CalProG2n,Ing0304-1
q022,ChiG2n,Ing0304-1
q022,DisIndMn,Ing0304-1
q022,DisComEsG2n,Ing0304-1
q022,FonMecG2n,Ing0304-1
q022,TerAppG2n,Ing0304-1
q023,GesAziGv,Ing0304-1
q023,OrgPro1Gv,Ing0304-1
q023,FonChiAn,Ing0304-1
q024,GesAziGv,Ing0304-1
q024,TecMec1Mn,Ing0304-1
q024,ImpTec1Cv,Ing0304-1
q025,GesAziGv,Ing0304-1
q025,TecMec1Mn,Ing0304-1
q025,nan,Ing0304-1
q025,CalProG2n,Ing0304-1
q026,Mat1Mn,Ing0304-1
q027,ChiG2n,Ing0304-1
q027,FonMecG2n,Ing0304-1
q027,DisIndMn,Ing0304-1
q027,DisIndEsMn,Ing0304-1
q028,ComMecMn,Ing0304-1
q028,CosMacMn,Ing0304-1
q028,TecMec1Mn,Ing0304-1
q028,AppIndGns,Ing0304-1
q029,GeoAppAns,Ing0304-1
q029,IdrNumAns,Ing0304-1
q029,StaAns,Ing0304-1
q029,StaPenAns,Ing0304-1
q030,MecSuoAns,Ing0304-1
q030,IdrNumAns,Ing0304-1
q030,StaPenAns,Ing0304-1
q031,IdrNumAns,Ing0304-1
q031,PriIngAns,Ing0304-1
q031,StaAns,Ing0304-1
q031,CamEleAn,Ing0304-1
q031,StrIndAn,Ing0304-1
q031,ChiInd1Gv,Ing0304-1
q031,nan,Ing0304-1
q032,MecCom1Cv,Ing0304-1
q032,TeoStr1Cv,Ing0304-1
q032,DisEdiCn,Ing0304-1
q033,MecCom1Cv,Ing0304-1
q033,TeoStr1Cv,Ing0304-1
q033,CalAut1Cv,Ing0304-1
q034,ArcTecCns,Ing0304-1
q034,CalAut1Cv,Ing0304-1
q034,Idr2Cn,Ing0304-1
q035,ArcTecCns,Ing0304-1
q035,CalAut1Cv,Ing0304-1
q035,MecCom1Cv,Ing0304-1
q036,ArcTecCns,Ing0304-1
q036,CalAut1Cv,Ing0304-1
q036,nan,Ing0304-1
q038,EleTel1Ens,Ing0304-1
q038,CalEle1Ev,Ing0304-1
q038,EleIndEv,Ing0304-1
q039,EleTel1Ens,Ing0304-1
q039,CalEle1Ev,Ing0304-1
q039,MetMatEn,Ing0304-1
q040,EleTel1Ens,Ing0304-1
q040,CalEle1Ev,Ing0304-1
q040,EleIndEv,Ing0304-1
q040,MetMatEn,Ing0304-1
q041,EleTel1Ens,Ing0304-1
q041,CalEle1Ev,Ing0304-1
nan,EleIndEv,Ing0304-1
q041,RetCal1G1n,Ing0304-1
q042,EleTel1Ens,Ing0304-1
q042,SisTel1Ens,Ing0304-1
q042,RetCal1G1n,Ing0304-1
q043,EleTel1Ens,Ing0304-1
q043,CalEle1Ev,Ing0304-1
q043,SisTel1Ens,Ing0304-1
q043,MetMatEn,Ing0304-1
q044,GesAziGv,Ing0304-1
q044,RetLogEn,Ing0304-1
q044,RetCal2Gns,Ing0304-1
q044,EleTel1Ens,Ing0304-1
nan,GesAziGv,Ing0304-1
q045,RetLogEn,Ing0304-1
q045,RetCal2Gns,Ing0304-1
q045,CalEle1Ev,Ing0304-1
q046,GesAziGv,Ing0304-1
q046,RetLogEn,Ing0304-1
q046,RetCal2Gns,Ing0304-1
q046,CalProG2n,Ing0304-1
q047,AppIndGns,Ing0304-1
q047,GesAziGv,Ing0304-1
q047,RetCal1G1n,Ing0304-1
q047,ImpTec1Cv,Ing0304-1
q048,AppIndGns,Ing0304-1
q048,GesAziGv,Ing0304-1
q048,RetCal1G1n,Ing0304-1
q048,FonChiAn,Ing0304-1
q049,AppIndGns,Ing0304-1
q049,GesAziGv,Ing0304-1
q049,RetCal1G1n,Ing0304-1
q049,CalProG2n,Ing0304-1
q050,TerAppMv,Ing0304-1
q050,ImpTec1Cv,Ing0304-1
q051,TecCos1Cv,Ing0304-1
q051,GeoAn,Ing0304-1
q051,IngConAn,Ing0304-1
q051,StoArcCv,Ing0304-1
q051,TeoStr1Cv,Ing0304-1
q051,MecCom1Cv,Ing0304-1
q052,TecCos1Cv,Ing0304-1
q052,GeoAn,Ing0304-1
q052,IngConAn,Ing0304-1
q052,StoArcCv,Ing0304-1
q053,TecCos1Cv,Ing0304-1
q053,GeoAn,Ing0304-1
q053,IngConAn,Ing0304-1
q054,CalAut1Cv,Ing0304-1
q054,CosZonCv,Ing0304-1
q055,ArcComCv,Ing0304-1
q055,ImpTec1Cv,Ing0304-1
q056,RivSpeCv,Ing0304-1
q056,CosZonCv,Ing0304-1
q057,IdrAppCv,Ing0304-1
q057,RivSpeCv,Ing0304-1
q057,ImpTec1Cv,Ing0304-1
q058,CalEle1Ev,Ing0304-1
q058,ComEleEn,Ing0304-1
q059,EleSis1En,Ing0304-1
q059,EleIndEv,Ing0304-1
q060,EleSis1En,Ing0304-1
q060,EleIndEv,Ing0304-1
q060,EleTel1Ens,Ing0304-1
q060,RetCal1G1n,Ing0304-1
q061,EleSis1En,Ing0304-1
q061,EleTel1Ens,Ing0304-1
q061,SisTel1Ens,Ing0304-1
q061,RetCal1G1n,Ing0304-1
q062,GesAziGv,Ing0304-1
q062,TecMec1Mn,Ing0304-1
q062,Mac1Mv,Ing0304-1
q062,ChiInd1Gv,Ing0304-1
q063,GesAziGv,Ing0304-1
q063,TecMec1Mn,Ing0304-1
q063,Mac1Mv,Ing0304-1
q064,TecMec1Mn,Ing0304-1
q065,OrgPro1Gv,Ing0304-1
q065,RetCal1G1n,Ing0304-1
q066,OrgPro1Gv,Ing0304-1
q066,RetCal1G1n,Ing0304-1
q066,ImpTec1Cv,Ing0304-1
q067,OrgPro1Gv,Ing0304-1
q067,RetCal1G1n,Ing0304-1
q067,EleIndEv,Ing0304-1
nan,Mac1Mv,Ing0304-1
q068,TerAppMv,Ing0304-1
q069,DisAssMv,Ing0304-1
q069,MecVibMn,Ing0304-1
q070,DisAssMv,Ing0304-1
q070,MecVibMn,Ing0304-1
q070,ImpTec1Cv,Ing0304-1
q000,c0107,Ing0405-3
q000,c0112,Ing0405-3
q001,c0098,Ing0405-3
q001,nan,Ing0405-3
q002,c0116,Ing0405-3
q002,c0117,Ing0405-3
q003,c0210,Ing0405-3
q003,c0226,Ing0405-3
q004,c0210,Ing0405-3
q004,c0163,Ing0405-3
q005,c0224,Ing0405-3
q005,c0012,Ing0405-3
q005,c0013,Ing0405-3
q005,c0014,Ing0405-3
q006,c0224,Ing0405-3
q006,c0012,Ing0405-3
q006,c0223,Ing0405-3
q006,c0218,Ing0405-3
q007,c0224,Ing0405-3
q007,c0013,Ing0405-3
q007,c0014,Ing0405-3
q008,nan,Ing0405-3
q008,c0036,Ing0405-3
q009,c0441,Ing0405-3
q009,c0014,Ing0405-3
q010,c0045,Ing0405-3
q010,c0057,Ing0405-3
q010,c1007,Ing0405-3
q011,c0052,Ing0405-3
q011,c0053,Ing0405-3
q011,c0055,Ing0405-3
q011,c0060,Ing0405-3
q012,c0741,Ing0405-3
q015,c0218,Ing0405-3
q015,c0223,Ing0405-3
q015,c0224,Ing0405-3
q016,c0224,Ing0405-3
q016,c0899,Ing0405-3
q017,c0227,Ing0405-3
nan,c0233,Ing0405-3
q018,c0227,Ing0405-3
q019,c0177,Ing0405-3
q019,c0179,Ing0405-3
q020,c0254,Ing0405-3
q020,c0271,Ing0405-3
q020,c0198,Ing0405-3
q021,c0196,Ing0405-3
q022,c0130,Ing0405-3
q022,c0901,Ing0405-3
q022,c0972,Ing0405-3
q023,c0130,Ing0405-3
q023,c0901,Ing0405-3
q023,c0953,Ing0405-3
q024,c0901,Ing0405-3
q024,c0978,Ing0405-3
q025,c0149,Ing0405-3
q025,nan,Ing0405-3
nan,c0882,Ing0405-3
q026,c0148,Ing0405-3
q026,c0149,Ing0405-3
q026,c0969,Ing0405-3
q027,c0148,Ing0405-3
q027,c0149,Ing0405-3
q027,c0150,Ing0405-3
q027,c0899,Ing0405-3
q028,c0148,Ing0405-3
q028,c0149,Ing0405-3
q028,c0150,Ing0405-3
q028,c0884,Ing0405-3
q029,c0162,Ing0405-3
q029,c0163,Ing0405-3
q029,c0947,Ing0405-3
q029,c1041,Ing0405-3
q030,c0162,Ing0405-3
q030,c0163,Ing0405-3
q030,c0985,Ing0405-3
q030,c1041,Ing0405-3
q031,c0162,Ing0405-3
q031,c0163,Ing0405-3
q031,c1041,Ing0405-3
q031,c1044,Ing0405-3
q033,c0254,Ing0405-3
nan,c0060,Ing0405-3
q033,c0052,Ing0405-3
q033,c0271,Ing0405-3
q035,c0745,Ing0405-3
q036,c0456,Ing0405-3
q036,c0745,Ing0405-3
q037,c0456,Ing0405-3
q037,c0741,Ing0405-3
q038,c0456,Ing0405-3
q038,c0465,Ing0405-3
q038,c0498,Ing0405-3
q039,c0456,Ing0405-3
q039,c0196,Ing0405-3
q040,c0465,Ing0405-3
q041,c0465,Ing0405-3
q041,c0498,Ing0405-3
q043,c0670,Ing0405-3
q043,c0420,Ing0405-3
q043,c0249,Ing0405-3
q044,c0409,Ing0405-3
q044,c0670,Ing0405-3
q044,c0233,Ing0405-3
q045,c0420,Ing0405-3
q045,c0933,Ing0405-3
q045,c0233,Ing0405-3
q045,c0441,Ing0405-3
q046,c0420,Ing0405-3
q046,c0933,Ing0405-3
q046,c0227,Ing0405-3
q047,c0447,Ing0405-3
nan,c0738,Ing0405-3
q048,c0745,Ing0405-3
q048,c0741,Ing0405-3
q049,c0745,Ing0405-3
q049,c0741,Ing0405-3
q050,c0486,Ing0405-3
q050,c0506,Ing0405-3
q050,c0745,Ing0405-3
q050,c0741,Ing0405-3
q051,c0491,Ing0405-3
q051,c0457,Ing0405-3
q052,c0498,Ing0405-3
q052,c0738,Ing0405-3
q053,c0501,Ing0405-3
q053,c0457,Ing0405-3
q054,c0052,Ing0405-3
q054,c0117,Ing0405-3
q054,c0116,Ing0405-3
q055,c0052,Ing0405-3
q055,c0510,Ing0405-3
q055,c0527,Ing0405-3
q055,c0117,Ing0405-3
q056,c0798,Ing0405-3
q056,c0036,Ing0405-3
q056,c0035,Ing0405-3
q057,c0814,Ing0405-3
q057,c0441,Ing0405-3
q057,c0014,Ing0405-3
q058,c0447,Ing0405-3
q058,c0991,Ing0405-3
q058,c0441,Ing0405-3
q058,c0014,Ing0405-3
q059,c0527,Ing0405-3
q060,c0991,Ing0405-3
q061,c0825,Ing0405-3
q061,c0416,Ing0405-3
q000,LetIta1,Let0405-1
q000,LinLatA,Let0405-1
q001,LinLetLat1,Let0405-1
q001,StoMod1,Let0405-1
q001,StoArtMod1,Let0405-1
q002,LinLetLat1,Let0405-1
q002,StoMod1,Let0405-1
q002,StoArtMod1,Let0405-1
q002,Bibeco,Let0405-1
q003,LinLetLat1,Let0405-1
q003,nan,Let0405-1
q003,StoArtMod1,Let0405-1
q003,Bibgra,Let0405-1
q004,StoCon,Let0405-1
q004,StoArtCon1,Let0405-1
q004,LinTed1,Let0405-1
q004,AlfInf,Let0405-1
q005,LetIta1,Let0405-1
q005,LinGreA,Let0405-1
q005,LinLatA,Let0405-1
q005,StoFil1,Let0405-1
q006,LinLetGre1,Let0405-1
q006,LinLetLat1,Let0405-1
q006,ArcCla1,Let0405-1
q007,LinLetLat1,Let0405-1
q007,LetCriAnt,Let0405-1
q007,Papiro,Let0405-1
q009,ArcCla1,Let0405-1
q009,StoVicOriAnt,Let0405-1
q010,LinLetLat1,Let0405-1
q010,EpiGre,Let0405-1
q010,Papiro,Let0405-1
q011,EpiGre,Let0405-1
q011,Papiro,Let0405-1
q011,LetCriAnt,Let0405-1
q012,EpiGre,Let0405-1
q012,Papiro,Let0405-1
q012,Numism,Let0405-1
q013,LinLetLat1,Let0405-1
q013,EpiGre,Let0405-1
q013,Papiro,Let0405-1
q013,StoCriChi,Let0405-1
q015,LinLetLat1,Let0405-1
q015,StoMod1,Let0405-1
q015,StoArtMod1,Let0405-1
q015,FonSocAntCulI,Let0405-1
q015,AntCul1,Let0405-1
q016,StoCon,Let0405-1
q016,StoCriChi,Let0405-1
q016,StoArtCon1,Let0405-1
q016,StoSci,Let0405-1
q017,LetIta1,Let0405-1
q017,LinLatA,Let0405-1
q017,StoFil1,Let0405-1
q017,FonSocAntCulI,Let0405-1
q017,AntCul1,Let0405-1
q018,LinLetLat1,Let0405-1
q018,StoMod1,Let0405-1
q018,Geo2,Let0405-1
q018,AntCul1,Let0405-1
q019,StoCon,Let0405-1
q019,PsiArt,Let0405-1
q020,StoCon,Let0405-1
q020,StoSci,Let0405-1
q020,PsiArt,Let0405-1
q020,Geo2,Let0405-1
q021,StoCon,Let0405-1
q021,StoSci,Let0405-1
q021,PsiArt,Let0405-1
q021,AntCul1,Let0405-1
q022,LetIta1,Let0405-1
q022,LinLatA,Let0405-1
q022,StoFil1,Let0405-1
q023,StoMod1,Let0405-1
q023,StoSci,Let0405-1
q023,LetCriAnt,Let0405-1
nan,FonSocAntCulI,Let0405-1
q023,AntCul1,Let0405-1
q024,FonSocAntCulI,Let0405-1
q024,AntCul1,Let0405-1
q024,StoArtMed1,Let0405-1
q025,AntCul1,Let0405-1
q025,StoArtMod1,Let0405-1
q025,StoMod1,Let0405-1
q026,FonSocAntCulI,Let0405-1
q026,StoArtMed1,Let0405-1
q026,StoCon,Let0405-1
q027,FonSocAntCulI,Let0405-1
q027,AntCul1,Let0405-1
q027,StoCon,Let0405-1
q028,LetIta1,Let0405-1
q028,ArcCla1,Let0405-1
q028,LinLatB,Let0405-1
q029,Numism,Let0405-1
q029,LinGreA,Let0405-1
q030,Numism,Let0405-1
q030,LinGreA,Let0405-1
q030,PrePro,Let0405-1
q031,LinGreA,Let0405-1
q031,StoVicOriAnt,Let0405-1
q032,ArcPae,Let0405-1
q033,ArcPae,Let0405-1
q033,LegBenCul1,Let0405-1
q033,StoCriChi,Let0405-1
q033,FilSem,Let0405-1
q034,ArcPae,Let0405-1
q034,LegBenCul1,Let0405-1
q034,StoCriChi,Let0405-1
q034,ArcEge,Let0405-1
q034,FilSem,Let0405-1
q035,nan,Let0405-1
q035,LegBenCul1,Let0405-1
q035,AntCul1,Let0405-1
q035,FilSem,Let0405-1
q036,ArcPae,Let0405-1
q036,LegBenCul1,Let0405-1
q036,AntCul1,Let0405-1
q036,ArcEge,Let0405-1
q036,FilSem,Let0405-1
q037,Bibeco,Let0405-1
q037,ConBenArcLib,Let0405-1
q037,Papiro,Let0405-1
q037,StoMod1,Let0405-1
q037,LegBenCul1,Let0405-1
q038,LetIta1,Let0405-1
q039,Bibgra,Let0405-1
q039,LetIta1,Let0405-1
q039,StoMod1,Let0405-1
q039,StoCon,Let0405-1
q039,StoArtMed1,Let0405-1
q040,Bibgra,Let0405-1
nan,LetIta1,Let0405-1
q040,StoMod1,Let0405-1
q040,StoCon,Let0405-1
q040,StoArtMod1,Let0405-1
q041,Bibgra,Let0405-1
q041,LetIta1,Let0405-1
q041,StoMod1,Let0405-1
q041,StoCon,Let0405-1
q042,Bibgra,Let0405-1
q042,LetIta1,Let0405-1
q042,StoMod1,Let0405-1
q042,ResBenArcLib,Let0405-1
q042,StoArtMed1,Let0405-1
q043,Bibgra,Let0405-1
q043,LetIta1,Let0405-1
q043,StoMod1,Let0405-1
q043,ResBenArcLib,Let0405-1
q043,StoArtMod1,Let0405-1
q044,Bibgra,Let0405-1
q044,LetIta1,Let0405-1
q044,StoMod1,Let0405-1
q044,ResBenArcLib,Let0405-1
q044,StoArtCon1,Let0405-1
q045,Bibgra,Let0405-1
q045,LetIta1,Let0405-1
q045,StoMod1,Let0405-1
q045,LinLetGre1,Let0405-1
q045,StoArtMed1,Let0405-1
q046,Bibgra,Let0405-1
q046,LetIta1,Let0405-1
q046,StoMod1,Let0405-1
q046,LinLetGre1,Let0405-1
q046,nan,Let0405-1
q047,Bibgra,Let0405-1
q047,LetIta1,Let0405-1
q047,StoMod1,Let0405-1
q047,LinLetGre1,Let0405-1
q047,StoArtCon1,Let0405-1
q048,Bibgra,Let0405-1
q048,LetIta1,Let0405-1
q048,StoMod1,Let0405-1
q048,LinLetLat1,Let0405-1
q048,StoArtMed1,Let0405-1
q049,Bibgra,Let0405-1
q049,LetIta1,Let0405-1
q049,StoMod1,Let0405-1
q049,LinLetLat1,Let0405-1
q049,StoArtMod1,Let0405-1
q050,Bibgra,Let0405-1
q050,LetIta1,Let0405-1
q050,StoMod1,Let0405-1
q050,LinLetLat1,Let0405-1
q050,StoArtCon1,Let0405-1
q051,Bibgra,Let0405-1
q051,LetIta1,Let0405-1
q051,StoCon,Let0405-1
q051,ResBenArcLib,Let0405-1
q052,Bibgra,Let0405-1
q052,StoCon,Let0405-1
q052,StoArtMod1,Let0405-1
q053,Bibgra,Let0405-1
q053,StoCon,Let0405-1
q053,StoArtCon1,Let0405-1
q054,Bibgra,Let0405-1
q054,LetIta1,Let0405-1
q054,StoCon,Let0405-1
q054,LinLetGre1,Let0405-1
q054,StoArtMed1,Let0405-1
q055,Bibgra,Let0405-1
q055,LetIta1,Let0405-1
q055,StoCon,Let0405-1
q055,nan,Let0405-1
q055,StoArtMod1,Let0405-1
q056,LetIta1,Let0405-1
