instance,course_id,lecture_index,day,timeslot,room_id
comp07,c0449,3,2,2,25
comp07,c0955,1,2,2,27
comp07,c0503,3,2,2,34
comp07,c1022,1,2,2,36
comp07,c0742,3,2,2,37
comp07,c0074,3,2,2,38
comp07,c0813,1,2,2,52
comp07,c0932,1,2,2,A
comp07,c0193,3,2,2,B
comp07,c0113,1,2,2,D
comp07,c0133,5,2,2,DS1
comp07,c0053,3,2,2,DS2
comp07,c0983,2,2,2,Er1
comp07,c1062,3,2,2,Er2
comp07,c0213,3,2,2,F
comp07,c0998,2,2,2,G
comp07,c0554,2,2,2,N
comp07,c0479,1,2,3,25
comp07,c0883,6,2,3,27
comp07,c0489,3,2,3,34
comp07,c0530,1,2,3,36
comp07,c0795,2,2,3,37
comp07,c0443,1,2,3,38
comp07,c0822,2,2,3,52
comp07,c0722,3,2,3,B
comp07,c0253,3,2,3,D
comp07,c0095,2,2,3,DS1
comp07,c0062,3,2,3,DS2
comp07,c0963,7,2,3,Er1
comp07,c0980,3,2,3,Er2
comp07,c0213,2,2,3,F
comp07,c0252,3,2,3,G
comp07,c0020,3,2,3,N
comp07,c0432,3,2,4,25
comp07,c1062,1,2,4,27
comp07,c0467,2,2,4,34
comp07,c0936,2,2,4,36
comp07,c0737,3,2,4,37
comp07,c0444,1,2,4,38
comp07,c0203,2,2,4,50
comp07,c0812,3,2,4,52
comp07,c0520,2,2,4,A
comp07,c0219,1,2,4,B
comp07,c0131,2,2,4,D
comp07,c0133,4,2,4,DS1
comp07,c0061,3,2,4,DS2
comp07,c1077,2,2,4,Er1
comp07,c0044,3,2,4,F
comp07,c0110,2,2,4,G
comp07,c0849,2,2,4,N
comp07,c0432,1,2,5,25
comp07,c0883,5,2,5,27
comp07,c0504,2,2,5,34
comp07,c0789,3,2,5,36
comp07,c0862,3,2,5,37
comp07,c0602,3,2,5,38
comp07,c0804,3,2,5,52
comp07,c0225,2,2,5,A
comp07,c0152,3,2,5,B
comp07,c0230,3,2,5,D
comp07,c0058,2,2,5,DS1
comp07,c0049,3,2,5,DS2
comp07,c0963,6,2,5,Er1
comp07,c0512,3,2,5,Er2
comp07,c0238,3,2,5,F
comp07,c0257,3,2,5,G
comp07,c1053,2,2,5,N
comp07,c0449,2,3,1,25
comp07,c0883,4,3,1,27
comp07,c0489,2,3,1,34
comp07,c0794,2,3,1,36
comp07,c0539,1,3,1,37
comp07,c0428,2,3,1,38
comp07,c1066,3,3,1,50
comp07,c0804,2,3,1,52
comp07,c0201,2,3,1,A
comp07,c0115,1,3,1,B
comp07,c0191,2,3,1,D
comp07,c0195,3,3,1,DS1
comp07,c0062,2,3,1,DS2
comp07,c0963,5,3,1,Er1
comp07,c0955,7,3,1,Er2
comp07,c0088,4,3,1,F
comp07,c0069,2,3,1,G
comp07,c1065,2,3,1,N
comp07,c0412,3,3,2,25
comp07,c0835,2,3,2,27
comp07,c0496,3,3,2,34
comp07,c0862,7,3,2,36
comp07,c0730,3,3,2,37
comp07,c0530,3,3,2,38
comp07,c1072,3,3,2,52
comp07,c0217,3,3,2,A
comp07,c0178,3,3,2,B
comp07,c0153,2,3,2,D
comp07,c0515,3,3,2,DS1
comp07,c0061,2,3,2,DS2
comp07,c0983,1,3,2,Er1
comp07,c1005,3,3,2,Er2
comp07,c0238,2,3,2,F
comp07,c0056,3,3,2,G
comp07,c0020,2,3,2,N
comp07,c0118,3,3,3,25
comp07,c0478,2,3,3,27
comp07,c0467,1,3,3,34
comp07,c0862,6,3,3,36
comp07,c0487,3,3,3,37
comp07,c0009,3,3,3,38
comp07,c0203,1,3,3,50
comp07,c0897,3,3,3,52
comp07,c0520,1,3,3,A
comp07,c0722,2,3,3,B
comp07,c0253,2,3,3,D
comp07,c0047,3,3,3,DS1
comp07,c0049,2,3,3,DS2
comp07,c1064,2,3,3,Er1
comp07,c0512,2,3,3,Er2
comp07,c0044,2,3,3,F
comp07,c0129,1,3,3,G
comp07,c0723,3,3,3,N
comp07,c0019,3,3,4,25
comp07,c0455,3,3,4,27
comp07,c0504,1,3,4,34
comp07,c0807,3,3,4,36
comp07,c0742,2,3,4,37
comp07,c1069,3,3,4,38
comp07,c0812,2,3,4,52
comp07,c0206,3,3,4,A
comp07,c0211,3,3,4,B
comp07,c0230,2,3,4,D
comp07,c0047,1,3,4,DS1
comp07,c0847,3,3,4,DS2
comp07,c0975,7,3,4,Er1
comp07,c0725,3,3,4,Er2
comp07,c0132,2,3,4,F
comp07,c0257,2,3,4,G
comp07,c0932,2,3,4,L
comp07,c1053,3,3,4,N
comp07,c0024,3,3,5,25
comp07,c0883,3,3,5,27
comp07,c0232,3,3,5,34
comp07,c0808,3,3,5,36
comp07,c0534,3,3,5,37
comp07,c0602,2,3,5,38
comp07,c0860,1,3,5,52
comp07,c0106,3,3,5,A
comp07,c0152,2,3,5,B
comp07,c0072,2,3,5,D
comp07,c0095,1,3,5,DS1
comp07,c0053,2,3,5,DS2
comp07,c0963,4,3,5,Er1
comp07,c0430,3,3,5,Er2
comp07,c0023,3,3,5,F
comp07,c1041,3,3,5,G
comp07,c1053,1,3,5,N
comp07,c0412,2,4,1,25
comp07,c0860,7,4,1,27
comp07,c0496,2,4,1,34
comp07,c0794,1,4,1,36
comp07,c0862,2,4,1,37
comp07,c0009,2,4,1,38
comp07,c0478,1,4,1,52
comp07,c0193,2,4,1,B
comp07,c0253,1,4,1,D
comp07,c0195,2,4,1,DS1
comp07,c0062,1,4,1,DS2
comp07,c0975,6,4,1,Er1
comp07,c0955,6,4,1,Er2
comp07,c0132,3,4,1,F
comp07,c0257,1,4,1,G
comp07,c0015,2,4,1,N
comp07,c0449,1,4,2,25
comp07,c0464,2,4,2,27
comp07,c0503,2,4,2,34
comp07,c0808,2,4,2,36
comp07,c0737,2,4,2,37
comp07,c0428,1,4,2,38
comp07,c1072,2,4,2,52
comp07,c0221,3,4,2,A
comp07,c0211,2,4,2,B
comp07,c0230,1,4,2,D
comp07,c0515,4,4,2,DS1
comp07,c0061,1,4,2,DS2
comp07,c0975,5,4,2,Er1
comp07,c0835,3,4,2,Er2
comp07,c0132,1,4,2,F
comp07,c0056,2,4,2,G
comp07,c1065,1,4,2,N
comp07,c0019,2,4,3,25
comp07,c0860,6,4,3,27
comp07,c0443,3,4,3,34
comp07,c0862,5,4,3,36
comp07,c0730,2,4,3,37
comp07,c0530,2,4,3,38
comp07,c1066,2,4,3,50
comp07,c0897,2,4,3,52
comp07,c0225,1,4,3,A
comp07,c0178,2,4,3,B
comp07,c0191,1,4,3,D
comp07,c0515,2,4,3,DS1
comp07,c0049,1,4,3,DS2
comp07,c0975,2,4,3,Er1
comp07,c1005,2,4,3,Er2
comp07,c0998,3,4,3,F
comp07,c0069,1,4,3,G
comp07,c0554,1,4,3,N
comp07,c0118,2,4,4,25
comp07,c0860,5,4,4,27
comp07,c0489,1,4,4,34
comp07,c0807,2,4,4,36
comp07,c0534,2,4,4,37
comp07,c0602,1,4,4,38
comp07,c1064,7,4,4,50
comp07,c0822,1,4,4,52
comp07,c0217,2,4,4,A
comp07,c0103,3,4,4,B
comp07,c0072,3,4,4,D
comp07,c0088,1,4,4,DS1
comp07,c0847,2,4,4,DS2
comp07,c0963,3,4,4,Er1
comp07,c0725,2,4,4,Er2
comp07,c0044,1,4,4,F
comp07,c0252,2,4,4,G
comp07,c0020,1,4,4,N
comp07,c0024,2,4,5,25
comp07,c0455,2,4,5,27
comp07,c0232,2,4,5,34
comp07,c0789,2,4,5,36
comp07,c0487,2,4,5,37
comp07,c1022,3,4,5,38
comp07,c1077,3,4,5,50
comp07,c0537,3,4,5,52
comp07,c0206,2,4,5,A
comp07,c0152,1,4,5,B
comp07,c0072,1,4,5,D
comp07,c0133,3,4,5,DS1
comp07,c0053,1,4,5,DS2
comp07,c1064,1,4,5,Er1
comp07,c0430,2,4,5,Er2
comp07,c0023,2,4,5,F
comp07,c1041,2,4,5,G
comp07,c0723,2,4,5,N
comp07,c0487,1,5,1,25
comp07,c0860,4,5,1,27
comp07,c0526,1,5,1,34
comp07,c0862,4,5,1,36
comp07,c0742,1,5,1,37
comp07,c0074,2,5,1,38
comp07,c1064,6,5,1,50
comp07,c0812,1,5,1,52
comp07,c0201,3,5,1,A
comp07,c0722,1,5,1,B
comp07,c0153,3,5,1,D
comp07,c0195,1,5,1,DS1
comp07,c0538,1,5,1,DS2
comp07,c0975,4,5,1,Er1
comp07,c0512,1,5,1,Er2
comp07,c0088,5,5,1,F
comp07,c0998,1,5,1,G
comp07,c0015,1,5,1,N
comp07,c0118,1,5,2,25
comp07,c0883,2,5,2,27
comp07,c0496,1,5,2,34
comp07,c0808,1,5,2,36
comp07,c0730,1,5,2,37
comp07,c0074,1,5,2,38
comp07,c1072,1,5,2,52
comp07,c0221,2,5,2,A
comp07,c0178,1,5,2,B
comp07,c0131,3,5,2,D
comp07,c0515,1,5,2,DS1
comp07,c0411,3,5,2,DS2
comp07,c0963,2,5,2,Er1
comp07,c0430,1,5,2,Er2
comp07,c0023,1,5,2,F
comp07,c0056,1,5,2,G
comp07,c0849,3,5,2,N
comp07,c0737,1,5,3,25
comp07,c0464,3,5,3,27
comp07,c0503,1,5,3,34
comp07,c0936,1,5,3,36
comp07,c0862,1,5,3,37
comp07,c1069,2,5,3,38
comp07,c1064,5,5,3,50
comp07,c0897,1,5,3,52
comp07,c0201,1,5,3,A
comp07,c0108,1,5,3,B
comp07,c0162,1,5,3,D
comp07,c0133,2,5,3,DS1
comp07,c0411,1,5,3,DS2
comp07,c0975,3,5,3,Er1
comp07,c1005,1,5,3,Er2
comp07,c0213,1,5,3,F
comp07,c0252,1,5,3,G
comp07,c0723,1,5,3,N
comp07,c0024,1,5,4,25
comp07,c0455,1,5,4,27
comp07,c0444,3,5,4,34
comp07,c0807,1,5,4,36
comp07,c0795,1,5,4,37
comp07,c0009,1,5,4,38
comp07,c0537,2,5,4,52
comp07,c0127,3,5,4,A
comp07,c0211,1,5,4,B
comp07,c0131,1,5,4,D
comp07,c0133,1,5,4,DS1
comp07,c0847,1,5,4,DS2
comp07,c1077,1,5,4,Er1
comp07,c0725,1,5,4,Er2
comp07,c0088,3,5,4,F
comp07,c0110,1,5,4,G
comp07,c0849,1,5,4,N
comp07,c0019,1,5,5,25
comp07,c0464,1,5,5,27
comp07,c0232,1,5,5,34
comp07,c0789,1,5,5,36
comp07,c0534,1,5,5,37
comp07,c1074,3,5,5,38
comp07,c0983,7,5,5,50
comp07,c0804,1,5,5,52
comp07,c0106,2,5,5,A
comp07,c0193,1,5,5,B
comp07,c0153,1,5,5,D
comp07,c0058,1,5,5,DS1
comp07,c0535,2,5,5,DS2
comp07,c0975,1,5,5,Er1
comp07,c0955,5,5,5,Er2
comp07,c0238,1,5,5,F
comp07,c1041,1,5,5,G
comp07,c0007,1,5,5,N
